,author,updated_at,like_count,text,public
133,@PilarWaktu,2025-03-16T22:55:32Z,0,Selalu menarik perhatian saya ketika Hp asal Eropa atau Amerika ngeluarin hp 2 jt an,True
134,@AbdulMalik-nh1tq,2025-03-16T22:50:40Z,0,Software sama chipsetnya udah cakep sih sebenernya,True
135,@yanza_zi,2025-03-16T17:19:09Z,0,Malam ini gw pesen warna merah 😅,True
136,@ardi_8149,2025-03-16T12:10:40Z,0,"terakhir pake moto G5s plus, lcd sama batre kena susah nyari sparepart nya 😩",True
137,@Yunitara-j1l,2025-03-16T09:07:00Z,1,Minus warna casingnya norak bgt.. ampun deh 😭😭,True
138,@MussaRR,2025-03-16T08:03:38Z,0,Udah mau lebaran bang brendi,True
139,@MussaRR,2025-03-16T08:03:06Z,0,Rekomendasi hp edisi lebaran mana bang?,True
140,@ipaypratama4406,2025-03-16T07:15:43Z,1,Mending ini atau iqoo z9x,True
141,@AWidiyanto,2025-03-16T03:29:24Z,0,"Bagus reviewnya, jadi tau kalo kameranya burik 😂 Ga jadi berminat.",True
142,@adifauzisaputra2813,2025-03-16T01:58:57Z,2,"Nonton review ini pake g45, saya simpel aja..liat motorola langsung beli. Urusan lain belakangan. Ini soal brandmind ya, apalagi dulu punya ROKR E1 yang ada itunes nya..itu kualitas dsp suara dari musik apapun asli natural dan enak betah didengar berjam jam. 
Dan kenangan gak terlupakan itu pas dibelikan Moto G1 ram 1gb sd400 maen real racing 3 gak nge lag sumpah😆",True
143,@catatanberwarna,2025-03-15T13:37:57Z,0,Duuhhhh emang slalu bagus motorola tuh . Aplg bahan casingnya,True
144,@anggacahyo9460,2025-03-15T13:34:28Z,0,Barang bekas review yg ini udah kejual kah bang??,True
145,@Sanmonster21,2025-03-15T13:05:43Z,0,Kalo sama ip8 pluss bagus mana kameranya ya,True
146,@kakabougenville7725,2025-03-15T12:40:20Z,0,"BANG SARAN HP BUAT LIVE TIKTOK YG STABIL 
BAJET 3 an",True
147,@abdurofs,2025-03-15T11:15:45Z,0,Pengguna Moto G5s Plus hadir 😃,True
148,@Mrepto-cn7df,2025-03-15T06:02:00Z,0,mau beli hp Motorola kayak nya bagus Spek coba coba spa tahu  bagus sederhana tapi kaya safwer nya. Motorola hp jaman dulu.sudah beredar ngk di Indonesia lor.amin,True
149,@Anonimm-r8n,2025-03-15T00:39:06Z,2,"Doain saya ya 😢 bis cepet punya hp baru, hpnya udah kentang 🙏🏻",True
150,@Luckycomp11,2025-03-14T22:15:52Z,0,Nah ni buat nemenin vivo x200 pro kerja,True
151,@Mrepto-cn7df,2025-03-14T21:24:12Z,0,lor Motorola aman ngk di pakai untuk washaf untuk perlindungan kunci otomatis.spek nya bagus Motorola saya tinggal kan tedmi siomi Indonesia China.amin,True
152,@amelsabrina9205,2025-03-14T11:34:17Z,0,Mending motorola apa redmi not 14 pro 4g?,True
153,@bangpwe,2025-03-14T05:49:02Z,1,Cakep kameranya,True
154,@justplay2768,2025-03-14T02:23:09Z,0,Sorry saya tim  360p tp masih keliatan 🤔,True
155,@grenzzgernascoticlas390,2025-03-13T23:06:25Z,0,beningnya kamera 2jtan tuh darimana nya sih ultrawidenya aja kasih suhu lebih panas dari SOC.,True
156,@lutfizakaria8530,2025-03-13T22:16:55Z,0,"Service center motorola? 

Sebelumnya saya blm pernah pakai produk.motorola,  kenapa saya lihat banyak yg bergaris layarnya ? Tapi bukan tipe ini",True
157,@pasìŕ_dìlaùt,2025-03-13T15:33:28Z,0,Untuk taksi online bagus/kuat penangkapan signal nya gak Brader?,True
158,@bondanbagus6156,2025-03-13T14:59:28Z,0,Bukeee tumbaskeee,True
159,@norasnira2209,2025-03-13T14:45:56Z,0,Mending ini atau infinix note 50,True
160,@jonimarwan7913,2025-03-13T13:31:17Z,0,Jadi ingat motorola pertma beli c 380 dan roker hehhe,True
161,@Logosmen20,2025-03-13T11:50:55Z,0,Mantap nih kalo buat ngegame..saya terakhir pake hp motorola tahun 2003,True
162,@topelgooners,2025-03-13T09:44:25Z,1,ada yang masih punya MotoG5s plus? kok gakbisa direset yaaa...,True
163,@SriWahyunipjy,2025-03-13T06:20:54Z,0,Ka  review redmi pad SE KA,True
164,@SeptianDwi-d2e,2025-03-13T01:41:45Z,0,os nya ada iklannya ga ya?,True
165,@Roni-e2x,2025-03-13T00:02:36Z,0,"Saat booting gak ada suara ""Hello Moto"" nya ?",True
166,@Waroftank,2025-03-12T22:53:11Z,0,16:50 mungkin motorola takut bakal matot karena belum tau kualitas timah buat solder si cpu sama materbord nya takut di hujat kayak poco,True
167,@Mamik-zagga97,2025-03-12T21:19:37Z,0,Di arab saudi udah punya edge 50 ultra keren namun cepet panas🤣 ntah karna suhu/karna hpnya temen sya punya sosmed aja panasnya kek maen game sambil cas,True
168,@masbaktiooo,2025-03-12T15:40:13Z,2,"Sayang banget layarnya cuma HD doang, belum FHD 😢",True
169,@donywijaya6154,2025-03-12T11:48:03Z,0,Buat maen efootbal lancar gak om David?,True
170,@FahmiFauzi-p8b,2025-03-11T21:35:33Z,0,Cara setting signal 5g nya gimana?,True
171,@hasbulahiqbal3096,2025-03-11T18:18:26Z,0,masih banyak bug nya,True
