,author,updated_at,like_count,text,public
142,@diansyahkira7,2025-03-03T05:32:19Z,0,Maskot genshin nya udah bukan ayaka lagi🤣,True
143,@ariandanipratama2553,2025-03-02T14:05:21Z,0,Bang tolong buat list recomend leptop gaming di harga 15 jt dong plis bang saya uda sering comen hampir 2 bulan belum dibuat videonya🙏🙏🙏,True
144,@raxergerang2105,2025-03-02T12:16:51Z,1,Jemput seniornya bang 🤩,True
145,@deniekaputra2765,2025-03-02T11:00:58Z,0,Untuk game fifa 25 bsa gak?,True
146,@GinanjarNugraha-e6v,2025-03-02T07:33:33Z,0,Bang stick nya pake apa? Spill,True
147,@RizaGunturPrakoso,2025-03-02T07:11:45Z,0,dynabook ex kantor luar ada di bawah 1kg,True
148,@operator-p3i,2025-03-02T06:27:07Z,0,"sama satu lagi driver, kadang kalo udah update OS, nyari drivernya susah, kemana2 untung2an, semoga dibaca juga sama produsennya buat update2 drivernya",True
149,@khaidarir,2025-03-02T03:18:14Z,0,bahas TKDNnya juga dong bang,True
150,@Andi_F_G,2025-03-01T12:52:42Z,0,"Ram 24,
Bisa jangka panjang pakainya.
Tinggal upgrade SSD aja.",True
151,@BarudakCool,2025-03-01T04:35:17Z,0,ini buat design udah enak belum ya? yang ringan aja seperti Photoshop & capcut,True
152,@cukuptau2617,2025-03-01T02:29:20Z,0,"Info donk teman, laptop flip untuk coding 10jutaan aja",True
153,@sofisofia5682,2025-03-01T01:57:53Z,0,Drivernya susah dicari 😂😂,True
154,@DalShortcoi,2025-02-28T15:10:18Z,0,"Gas review ADVAN Evo-x 16"" sama 13"" bang laptop tablet 6jutaan doang",True
155,@benianasukses6232,2025-02-28T14:58:54Z,0,Advan Evo x dong review,True
156,@RIFWRC,2025-02-28T14:58:04Z,0,MENDING ASUS VIVOBOOK GO 15 OLED ATAU AXIOO HYPE R3 INI??,True
157,@missyagustina2793,2025-02-28T14:20:14Z,0,"bingung bgt pilih brand lokal apa luar ya, biar awet smpe tahunan dipske adek adek",True
158,@Egaa2802,2025-02-28T13:14:58Z,0,Review laptop mini dong bang..,True
159,@BanyuChairul,2025-02-28T11:51:33Z,1,"Review axioo hype 7 x8 bang, bagus itu",True
160,@yuukiakihime454,2025-02-28T11:32:10Z,0,"produk mantep buat software engineer ini , apalagi buat android studio core i3 gen 12 udah jalan sih , apalagi ramnya",True
161,@SabiqGlngg,2025-02-28T08:23:10Z,0,Bang gmana caranya biar bisa dpet microsoft offticenya bng🙏,True
162,@arvivitrianto6135,2025-02-28T07:04:17Z,0,Saya user Axioo hype 7 amd pemakaian 3 bulan puas abis gaming+ofice puass,True
163,@Jhons-b3d,2025-02-27T17:13:21Z,0,Aku pake axioo pongo 760 v2 baru 3 bulan cukup puas sih,True
164,@amelEka-c5k,2025-02-27T15:35:48Z,0,Rekomendasi laptop harga di bawah 5 JT an buat mahasiswa bang,True
165,@nazih_mac8880,2025-02-27T12:28:44Z,0,casnya buat hp bisa nggak?,True
166,@mekdiv9755,2025-02-27T12:02:17Z,0,mending ram dipangkas 16gb trus tambahin vga aj,True
167,@theonlyflaw.youareflawless,2025-02-27T09:52:48Z,0,bantu milih dong mending ini apa sodaranya yg hype 5 x6,True
168,@whybr9011,2025-02-27T07:51:02Z,0,buat ngerender ansys kuat ga ya?,True
169,@aghipand,2025-02-27T07:07:29Z,0,Kelemahan Axioo itu bateranya cepat kembung,True
170,@wpandrea,2025-02-27T03:33:44Z,0,Ada apa dengan Axioo selalu ngasih biaya tambahan buat windows wkwk,True
171,@fatwapujanggaislami7971,2025-02-27T00:54:48Z,0,"Mohon maaf mas David tadinya saya mau share vidio ini ke ayah saya, soalnya ayah saya lagi butuh laptop ringan tapi ga jadi karena ada rahasia saya di menit 20:00 🤣",True
172,@ardyan2131,2025-02-26T13:46:21Z,0,"Ram 24gb lebih baik sih karna ram gabisa upgrade, kalo ssd kan bisa upgrade, ram 24gb buat apa sih? Buat bikin vm bisaaaa",True
173,@hhvvnauraaundy8669,2025-02-26T12:24:43Z,0,"Pke asus 15 oled mentok di 8gb ram,  game ketolong Fsr mode libas semua tomb raider nexus mod😅, palg axioo ini dgn ryzen 24gb ram wah worth banget,",True
174,@ailisaofficial,2025-02-26T09:02:40Z,0,Kok jatuh cinta pandangan pertama sama ni axioo hype R3,True
175,@dinalutfianaa,2025-02-26T08:30:46Z,0,13:55 14:34,True
176,@PengenNikah96,2025-02-26T08:12:48Z,0,bang video selanjutnya tolong review jas hujan Axioo,True
177,@EddiKurniawan,2025-02-26T08:11:47Z,0,"11:05 Buat buka Tab Chrome banyak-banyak bang.
Salah satu fungsi RAM gede",True
178,@axclyn,2025-02-26T05:57:22Z,0,compatible sama external gpu ga laptop ini? utk storage sepertinya bisa diganti yah.. 18:28,True
179,@mabosyi,2025-02-26T04:19:24Z,0,ram 16 masih kurang bang klo menurut saya hehe,True
180,@pparkjisun9,2025-02-26T02:45:41Z,0,mending ini atau asus vivobook ya?,True
181,@achmadrizqi8508,2025-02-25T18:42:51Z,0,Laptop tertipis dan gacor mas david,True
182,@DiffaAkbar-ku4tb,2025-02-25T18:01:24Z,0,bagus ini apa yg hype 5 x6?,True
183,@DEJAVUPROJECTT,2025-02-25T15:42:47Z,0,"Saya mantan user axioo neon tahun 2007/8 entah saya lupa tahunnya, awet sekali saya pakai dari SD sampai SMP.. sekarang axioo neon nya masih nyala loh walaupun HDD udah rusak karena jatuh..  akhirnya ganti Toshiba satelite dan Acer Nitro 5 pas SMA.. dan waktu tau axioo bikin laptop Gaming murah, gapake mikir saya langsung ambil versi termurahnya yaitu Axioo pongo 725, using experience 4 bulan sih wenak banget ini laptop.. sangat cukup untuk memenuhi kebutuhan kerjaan dan kuliah daripada rakit PC murah.. Axioo keren lah pokoknya.. masih satu pabrik sama M** di china sana hehehe...",True
184,@RizaGunturPrakoso,2025-02-25T15:30:11Z,0,"kalo asus, 1 sekrup ilang aja bisa pesen",True
185,@Puntengaming21,2025-02-25T13:53:41Z,0,Ini buat dl studio kuat gak ya ? Brand axio ini,True
186,@eternalyaze,2025-02-25T13:36:18Z,0,"bang next time kalau test performa, main wuthering waves bang karna lebih berat dari genshin impact :)",True
187,@adityadwirangga952,2025-02-25T12:36:05Z,0,Mending ini atau advan workplus r7 yaa minta tolong saran nya,True
188,@aindoery4480,2025-02-25T11:56:57Z,0,"Jadi bingung antara ini atau advan X13, saran dong?!",True
189,@mizanienazrine,2025-02-25T10:47:22Z,0,bagus ga ini buat zoom dan bny keluhan ga dg sparepart nya gmn,True
190,@kevinimation5508,2025-02-25T07:42:58Z,0,Pengen beli tpi kebutuhan cuman buat nonton yt doang😂,True
191,@04yudha,2025-02-25T00:02:17Z,0,"Huawei matpad pro 13.2 bang, pliss",True
192,@rvndgame,2025-02-24T18:20:09Z,0,kalau buat editing video dan Render gimna bang ?,True
193,@SGSTVchannelku,2025-02-24T18:08:00Z,0,"gua punya pengalaman yang buruk tentang laptop axioo baru 1 tahun yang lalu .., beli harga 8 jt baru 2 bulan problem sering mati2 sendiri, dibawa diservis center ngga ketemu kerusakannya dimana, dan sampai sekarang belum normal .. saran saya beli ke merk2 yang lebih terjamin walau agak mahal dikit tapi bisa buat jaminan performa ...",True
194,@ribkalaa,2025-02-24T16:41:19Z,0,"Mohon dibantu jawab, karna kebetulan saya nyari laptop buat kerja kantoran, ini bakal kepake gk ya? Saya bukan yg suka gaming, beneran cari laptop cuma buat kerja kantoran aja",True
195,@DeihanDzilky,2025-02-24T11:34:02Z,4,"*_Overall bagus, cuman nahan di internal doank yang masih buat mikir2 untuk meminangnya..._*
*_Kelebihan RAM kekurangan Internal..._*",True
196,@qiujae,2025-02-24T06:37:22Z,0,Untuk keperluan ngedit atau desain dengan range harga mirip Axioo ini yang paling recommended apa ya?,True
